Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
874	1	finished	0	Jan-26 23:02:11	Jan-27 03:26:29	Jan-27 07:02:41	03:36:12	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
765	1	finished	0	Jan-26 23:02:11	Jan-27 03:38:38	Jan-27 07:03:54	03:25:16	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
828	1	finished	0	Jan-26 23:02:01	Jan-27 01:13:11	Jan-27 04:41:35	03:28:24	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1028	0	finished	0	Jan-25 17:42:46	Jan-26 19:01:01	Jan-26 23:02:26	04:01:25	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
1038	0	finished	0	Jan-25 17:42:53	Jan-26 17:51:15	Jan-26 21:03:30	03:12:15	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1033	0	finished	0	Jan-25 17:42:47	Jan-26 17:23:31	Jan-26 20:39:29	03:15:58	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1026	0	finished	0	Jan-25 17:42:46	Jan-26 16:48:12	Jan-26 20:20:23	03:32:11	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
1659	2	finished	0	Feb-05 11:06:04	Feb-05 11:07:09	Feb-05 15:52:38	04:45:29	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
2034	1	finished	0	Feb-02 23:56:33	Feb-05 07:33:41	Feb-05 14:42:36	07:08:55	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
1713	1	finished	0	Feb-02 23:56:41	Feb-05 07:49:59	Feb-05 14:34:18	06:44:19	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1939	2	finished	0	Feb-05 04:50:59	Feb-05 05:05:45	Feb-05 13:17:18	08:11:33	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
2017	1	finished	0	Feb-02 23:56:42	Feb-05 07:59:59	Feb-05 13:05:59	05:06:00	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1862	1	finished	0	Feb-02 23:56:42	Feb-05 07:58:29	Feb-05 12:20:01	04:21:32	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1935	1	finished	0	Feb-02 23:56:08	Feb-05 02:25:48	Feb-05 11:34:09	09:08:21	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1983	1	finished	0	Feb-02 23:56:20	Feb-05 06:16:35	Feb-05 11:27:53	05:11:18	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
